USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root           427     2          0      0 0                   0 I [ext4-rsv-conver]
root           428     2          0      0 0                   0 I [ext4-rsv-conver]
root           429     2          0      0 0                   0 I [ext4-rsv-conver]
root           433     2          0      0 0                   0 S [f2fs_ckpt-8:1]
root           434     2          0      0 0                   0 S [f2fs_flush-8:1]
root           435     2          0      0 0                   0 S [f2fs_discard-8:1]
root           436     2          0      0 0                   0 S [f2fs_gc-8:1]
prng_seeder    437     1   10830800   2868 0                   0 S prng_seeder
logd           439     1   10921276   5848 0                   0 S logd
lmkd           440     1   10940460   4108 0                   0 S lmkd
system         441     1   10809492   3324 0                   0 S servicemanager
system         443     1   10836640   2540 0                   0 S vndservicemanager
root           444     2          0      0 0                   0 S [psimon]
root           456     2          0      0 0                   0 S [sugov:0]
root           457     2          0      0 0                   0 S [sugov:4]
root           458     2          0      0 0                   0 S [sugov:7]
root           460     1   10960644   2920 0                   0 S vold
root           462     2          0      0 0                   0 I [ext4-rsv-conver]
root           466     2          0      0 0                   0 I [kdmflush/254:56]
system         477     1   11023000   3660 0                   0 S android.system.suspend-service
keystore       478     1   11079056   7480 0                   0 S keystore2
root           479     1   10883520   3692 0                   0 S android.hardware.boot-service.default-pixel
hsm            482     1   10952680   3892 0                   0 S android.hardware.security.keymint-service.citadel
nobody         483     1   10856948   3628 0                   0 S android.hardware.security.keymint-service.rust.trusty
hsm            484     1   10918480   3212 0                   0 S citadeld
system         487     1   12629212  61024 0                   0 S surfaceflinger
system         488     1   10892552   4752 0                   0 S android.hardware.graphics.allocator-V2-service
system         489     1   11873488   6312 0                   0 S android.hardware.composer.hwc3-service.pixel
root           500     2          0      0 0                   0 S [krfcommd]
root           552     2          0      0 0                   0 I [cfg80211]
root           555     2          0      0 0                   0 I [pa_kill]
root           559     2          0      0 0                   0 I [gxp_power_work_]
root           560     2          0      0 0                   0 S [irq/475-aurora_mcu_wdg]
root           561     2          0      0 0                   0 S [gxp_response_4]
root           562     2          0      0 0                   0 S [gxp_response_3]
root           563     2          0      0 0                   0 S [gxp_response_5]
root           564     2          0      0 0                   0 S [lwis_s_top]
root           565     2          0      0 0                   0 S [lwis_t_isp-fe]
root           566     2          0      0 0                   0 S [lwis_t_gdc0]
root           567     2          0      0 0                   0 S [lwis_t_gdc1]
root           568     2          0      0 0                   0 S [lwis_t_mcsc]
root           569     2          0      0 0                   0 S [mali-gpuq-kthread]
root           570     2          0      0 0                   0 S [lwis_t_gse]
root           571     2          0      0 0                   0 S [lwis_t_be-core]
root           572     2          0      0 0                   0 S [lwis_t_gtnr-merge]
root           573     2          0      0 0                   0 S [lwis_t_gtnr-align]
root           574     2          0      0 0                   0 S [lwis_t_lme]
root           575     2          0      0 0                   0 S [lwis_t_votf]
root           576     2          0      0 0                   0 S [csf_kcpu_worker]
root           580     2          0      0 0                   0 S [lwis_I2C_Bus_5]
root           581     2          0      0 0                   0 S [lwis_I2C_Bus_3]
root           582     2          0      0 0                   0 S [lwis_I2C_Bus_2]
root           583     2          0      0 0                   0 S [lwis_I2C_Bus_4]
root           584     2          0      0 0                   0 S [f2fs_ckpt-254:56]
root           585     2          0      0 0                   0 S [f2fs_flush-254:56]
root           586     2          0      0 0                   0 S [f2fs_discard-254:56]
root           597     2          0      0 0                   0 S [f2fs_gc-254:56]
root           607     2          0      0 0                   0 S [f2fs_ckpt-8:5]
root           608     2          0      0 0                   0 S [f2fs_flush-8:5]
root           609     2          0      0 0                   0 S [f2fs_discard-8:5]
root           610     2          0      0 0                   0 S [f2fs_gc-8:5]
root           612     2          0      0 0                   0 S [f2fs_ckpt-8:6]
root           613     2          0      0 0                   0 S [f2fs_flush-8:6]
root           614     2          0      0 0                   0 S [f2fs_discard-8:6]
